pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence,session
AUD/CAD OTC,#AUDCAD_otc,SELL,1m,1.03527,1.03771,LOSS,-0.23569,2026-04-10 18:44:31,three_candle_reversal,64.7,NEUTRAL
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.82958,1.82953,WIN,0.00273,2026-04-10 18:44:31,ema_micro_cross,58.2,NEUTRAL
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.37632,18.37703,LOSS,-0.00386,2026-04-10 18:44:31,ema_micro_cross,58.0,NEUTRAL
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.68672,0.6864,LOSS,-0.0466,2026-04-10 18:45:21,three_candle_reversal,58.2,NEUTRAL
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.13665,1.13592,WIN,0.06422,2026-04-10 18:45:21,ema_micro_cross,64.7,NEUTRAL
GBP/AUD OTC,#GBPAUD_otc,BUY,1m,1.9805,1.98071,WIN,0.0106,2026-04-10 18:45:21,three_candle_reversal,65.1,NEUTRAL
NZD/USD OTC,#NZDUSD_otc,BUY,1m,0.57297,0.57265,LOSS,-0.05585,2026-04-10 18:45:21,ema_micro_cross,61.1,NEUTRAL
AUD/CHF OTC,#AUDCHF_otc,BUY,1m,0.48517,0.48631,WIN,0.23497,2026-04-10 18:45:21,ema_micro_cross,57.5,NEUTRAL
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,94.73,94.73,DRAW,0.0,2026-04-10 18:45:21,three_candle_reversal,58.1,NEUTRAL
CAD/JPY OTC,#CADJPY_otc,SELL,1m,115.375,115.347,WIN,0.02427,2026-04-10 18:46:11,ema_micro_cross,58.5,NEUTRAL
AUD/JPY OTC,#AUDJPY_otc,SELL,1m,117.999,117.931,WIN,0.05763,2026-04-10 18:46:11,ema_micro_cross,60.0,NEUTRAL
AUD/CAD OTC,#AUDCAD_otc,SELL,1m,1.03687,1.03749,LOSS,-0.0598,2026-04-10 18:47:51,stoch_snap,77,NEUTRAL
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.8293,1.82855,WIN,0.041,2026-04-10 18:47:51,ema_micro_cross,67.8,NEUTRAL
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.37524,18.37489,WIN,0.0019,2026-04-10 18:47:51,ema_micro_cross,61.9,NEUTRAL
KES/USD OTC,#KESUSD_otc,SELL,1m,0.0074434,0.007439,WIN,0.05911,2026-04-10 18:47:51,ema_micro_cross,58.2,NEUTRAL
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.88716,0.88871,WIN,0.17471,2026-04-10 18:47:51,ema_micro_cross,57.3,NEUTRAL
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.31291,1.31157,LOSS,-0.10206,2026-04-10 18:47:51,ema_micro_cross,58.2,NEUTRAL
