pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence,session
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.1391,1.13984,WIN,0.06496,2026-04-01 12:36:39,level_touch,58.4,NEUTRAL
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.58652,0.5863,LOSS,-0.03751,2026-04-01 12:36:39,level_touch,60.6,NEUTRAL
AED/CNY OTC,#AEDCNY_otc,BUY,1m,1.82297,1.81967,LOSS,-0.18102,2026-04-01 12:36:39,level_touch,66.4,NEUTRAL
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.30601,18.30504,LOSS,-0.0053,2026-04-01 12:36:39,level_touch,61.5,NEUTRAL
KES/USD OTC,#KESUSD_otc,BUY,1m,0.0075092,0.0075167,WIN,0.09988,2026-04-01 12:36:39,level_touch,62.3,NEUTRAL
EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.84125,0.84111,WIN,0.01664,2026-04-01 12:36:39,level_breakout,55.2,NEUTRAL
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.34657,1.3461,WIN,0.0349,2026-04-01 12:36:39,level_touch,67.6,NEUTRAL
USD/CAD OTC,#USDCAD_otc,BUY,1m,1.38283,1.38286,WIN,0.00217,2026-04-01 12:36:39,level_touch,58.8,NEUTRAL
NZD/USD OTC,#NZDUSD_otc,SELL,1m,0.56889,0.56895,LOSS,-0.01055,2026-04-01 12:36:39,level_touch,64.7,NEUTRAL
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.67519,0.675,LOSS,-0.02814,2026-04-01 12:37:29,ema_bounce,83,BULL
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,109.402,109.361,LOSS,-0.03748,2026-04-01 12:37:29,ema_bounce,66.8,BULL
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.95944,0.95891,LOSS,-0.05524,2026-04-01 12:39:59,level_touch,61.6,BULL
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.3061,18.30481,LOSS,-0.00705,2026-04-01 12:39:59,level_touch,65.6,BULL
EUR/CHF OTC,#EURCHF_otc,BUY,1m,0.8428,0.84134,LOSS,-0.17323,2026-04-01 12:39:59,level_touch,61.9,BULL
GBP/AUD OTC,#GBPAUD_otc,BUY,1m,1.95673,1.9583,WIN,0.08024,2026-04-01 12:39:59,level_touch,67.7,BULL
USD/JPY OTC,#USDJPY_otc,BUY,1m,162.645,162.624,LOSS,-0.01291,2026-04-01 12:39:59,level_touch,66.8,BULL
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.86706,0.86702,LOSS,-0.00461,2026-04-01 12:39:59,level_touch,62.7,BULL
AUD/USD OTC,#AUDUSD_otc,SELL,1m,0.67434,0.67478,LOSS,-0.06525,2026-04-01 12:41:39,level_touch,61.1,BEAR
CAD/CHF OTC,#CADCHF_otc,SELL,1m,0.58553,0.58639,LOSS,-0.14688,2026-04-01 12:41:39,level_touch,65.6,BEAR
AED/CNY OTC,#AEDCNY_otc,SELL,1m,1.81898,1.819,LOSS,-0.0011,2026-04-01 12:42:29,ema_bounce,55.6,BEAR
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.34554,1.34543,WIN,0.00818,2026-04-01 12:44:59,level_touch,67.6,BEAR
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.78763,0.78781,LOSS,-0.02285,2026-04-01 12:44:59,level_touch,65.1,BEAR
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,200.635,200.624,WIN,0.00548,2026-04-01 12:44:59,level_touch,66.4,BEAR
