id;outcome_id;timestamp_signal;pair;symbol;direction;expiry;entry_price;pattern_winner;final_score;raw_pattern_score;direction_gap;regime;countertrend;n_bars_15s;n_bars_1m;n_bars_5m;score_gap;filter_penalty;nearest_support;dist_to_support_pct;nearest_resistance;dist_to_resistance_pct;level_count_sup;level_count_res;impulse_len;pullback_len;retracement_pct;confirm_ratio;lr_level_price;lr_touches;lr_fresh;lr_wick_ratio;lr_room_pct;fb_level_price;fb_side;fb_reclaim_type;fb_bars_ago;no_room_decision;opposite_level_class;dead_market;exhaustion;noisy;range_penalty;close_price;result;pnl_pct;resolved_at;source
1109;;2026-03-25T20:25:31.241499;KES/USD OTC;#KESUSD_otc;BUY;1m;0.007847;ema_bounce;;;;TRENDING_UP;0;;;;;;0.007836;0.1338;0.00795;1.3108;8;3;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;;pending;;;paper
1108;;2026-03-25T20:25:31.240427;EUR/USD OTC;#EURUSD_otc;BUY;1m;1.13831;ema_bounce;;;;TRENDING_UP;0;;;;;;1.138247;0.0055;1.138776;0.0409;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;;pending;;;paper
1107;;2026-03-25T20:25:31.243153;EUR/GBP OTC;#EURGBP_otc;BUY;1m;0.87682;ema_bounce;;;;TRENDING_UP;0;;;;;;0.876244;0.0657;0.877;0.0205;2;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;;pending;;;paper
1106;;2026-03-25T20:24:41.207294;AUD/JPY OTC;#AUDJPY_otc;BUY;1m;111.434;ema_bounce;;;;RANGE;0;;;;;;111.342687;0.0819;111.508783;0.0671;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;111.392;LOSS;-0.03769;2026-03-25T20:26:21.064966;paper
1105;;2026-03-25T20:24:41.205946;AUD/NZD OTC;#AUDNZD_otc;BUY;1m;1.16941;ema_bounce;;;;TRENDING_UP;0;;;;;;1.166015;0.2903;1.172668;0.2786;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;1.16791;LOSS;-0.12827;2026-03-25T20:26:21.064629;paper
1104;;2026-03-25T20:24:41.205627;AUD/CAD OTC;#AUDCAD_otc;BUY;1m;0.9609;ema_bounce;;;;RANGE;0;;;;;;0.95865;0.2341;0.96142;0.0541;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.96047;LOSS;-0.04475;2026-03-25T20:26:21.064136;paper
1103;;2026-03-25T20:24:41.206347;AED/CNY OTC;#AEDCNY_otc;BUY;1m;1.77938;level_bounce;;;;RANGE;0;;;;;;1.777688;0.0951;1.780549;0.0657;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;1.77899;LOSS;-0.02192;2026-03-25T20:26:21.064790;paper
1102;;2026-03-25T20:23:51.282154;NZD/JPY OTC;#NZDJPY_otc;BUY;1m;98.149;level_bounce;;;;RANGE;0;;;;;;98.107263;0.0425;98.224;0.0764;1;2;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;98.224;WIN;0.07641;2026-03-25T20:25:31.240182;paper
1101;;2026-03-25T20:23:51.279330;AUD/USD OTC;#AUDUSD_otc;SELL;1m;0.69793;ema_bounce;;;;RANGE;0;;;;;;0.69766;0.0387;0.699447;0.2174;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.69721;WIN;0.10316;2026-03-25T20:25:31.239965;paper
1100;;2026-03-25T20:23:01.262767;GBP/AUD OTC;#GBPAUD_otc;BUY;1m;1.92934;level_bounce;;;;RANGE;0;;;;;;1.927992;0.0698;1.93002;0.0352;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;1.93022;WIN;0.04561;2026-03-25T20:24:41.204358;paper
