pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.14473,1.14467,WIN,0.00524,2026-03-26 08:30:33,ema_bounce,61.9
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.60315,0.60299,LOSS,-0.02653,2026-03-26 08:30:33,ema_bounce,68.6
USD/CHF OTC,#USDCHF_otc,BUY,1m,0.7719,0.77191,WIN,0.0013,2026-03-26 08:30:33,level_bounce,61.9
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,99.554,99.681,WIN,0.12757,2026-03-26 08:30:33,level_breakout,56.7
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,209.501,209.403,WIN,0.04678,2026-03-26 08:30:33,level_breakout,67.6
USD/CAD OTC,#USDCAD_otc,SELL,1m,1.41005,1.41011,LOSS,-0.00426,2026-03-26 08:31:23,level_bounce,65.8
NZD/USD OTC,#NZDUSD_otc,SELL,1m,0.6082,0.60761,WIN,0.09701,2026-03-26 08:31:23,ema_bounce,71.8
EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.86675,0.86745,LOSS,-0.08076,2026-03-26 08:31:23,ema_bounce,78
EUR/JPY OTC,#EURJPY_otc,BUY,1m,186.9,186.861,LOSS,-0.02087,2026-03-26 08:32:13,level_bounce,85
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.91949,1.91914,WIN,0.01823,2026-03-26 08:32:13,level_bounce,58.4
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,111.999,111.959,LOSS,-0.03571,2026-03-26 08:32:13,ema_bounce,71.4
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.35508,1.35529,LOSS,-0.0155,2026-03-26 08:33:03,ema_bounce,66.0
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.14446,1.14426,WIN,0.01748,2026-03-26 08:33:53,ema_bounce,58.9
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.98439,0.98595,WIN,0.15847,2026-03-26 08:33:53,level_breakout,66.4
CAD/CHF OTC,#CADCHF_otc,SELL,1m,0.60169,0.60172,LOSS,-0.00499,2026-03-26 08:33:53,level_bounce,64.7
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.42745,18.4263,WIN,0.00624,2026-03-26 08:33:53,level_bounce,58.8
KES/USD OTC,#KESUSD_otc,SELL,1m,0.006733,0.006736,LOSS,-0.04456,2026-03-26 08:33:53,ema_bounce,70.4
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,99.72,99.789,WIN,0.06919,2026-03-26 08:33:53,ema_bounce,59.7
NZD/USD OTC,#NZDUSD_otc,SELL,1m,0.60757,0.60731,WIN,0.04279,2026-03-26 08:34:43,ema_bounce,76
EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.86708,0.86774,LOSS,-0.07612,2026-03-26 08:34:43,ema_bounce,55.4
EUR/JPY OTC,#EURJPY_otc,BUY,1m,186.888,186.811,LOSS,-0.0412,2026-03-26 08:35:33,level_bounce,75
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.77161,0.77238,LOSS,-0.09979,2026-03-26 08:35:33,level_breakout,55.9
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,112.097,112.156,WIN,0.05263,2026-03-26 08:35:33,ema_bounce,55.4
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.98574,0.98643,WIN,0.07,2026-03-26 08:37:13,ema_bounce,76
AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.17971,1.17976,WIN,0.00424,2026-03-26 08:37:13,ema_bounce,58.9
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.42662,18.42646,WIN,0.00087,2026-03-26 08:37:13,level_bounce,55.7
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.35492,1.3539,WIN,0.07528,2026-03-26 08:37:13,ema_bounce,66.8
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.91765,1.91645,WIN,0.06258,2026-03-26 08:38:53,ema_bounce,65.6
NZD/USD OTC,#NZDUSD_otc,SELL,1m,0.60773,0.60837,LOSS,-0.10531,2026-03-26 08:38:53,ema_bounce,67.8
EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.86835,0.86809,WIN,0.02994,2026-03-26 08:38:53,level_bounce,75
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,99.981,100.006,WIN,0.025,2026-03-26 08:38:53,level_breakout,57.7
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,209.341,209.27,WIN,0.03392,2026-03-26 08:38:53,ema_bounce,69.7
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.14431,1.14418,WIN,0.01136,2026-03-26 08:39:43,ema_bounce,78
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.60304,0.60327,WIN,0.03814,2026-03-26 08:39:43,level_breakout,55.2
